S003,S007,S017,S019,X001,X003,X007,X011,X025A,X047,C001,D057,D063_B
DEU,2760600181,0.17411432141708558,0.12764979576032667,1,69,1,1,NA,6,2,3,1
DEU,2760600182,0.24480350831438652,0.17947471284045932,2,63,1,2,NA,5,2,2,1
DEU,2760600183,0.4098131442989688,0.3004495192807689,1,58,1,4,NA,5,2,3,1
DEU,2760600184,0.26628647394164146,0.19522468764049958,1,61,1,4,NA,6,3,2,1
DEU,2760600185,0.5406546349525836,0.39637436580101437,2,33,1,2,NA,4,2,3,1
DEU,2760600186,0.4291478133634983,0.3146244966008052,1,30,6,0,NA,7,1,3,1
DEU,2760600187,0.37943009291185104,0.2781745549207119,1,22,6,0,NA,4,2,4,1
DEU,2760600188,0.2910430343311448,0.21337465860054608,2,48,1,2,NA,4,2,3,2
DEU,2760600189,0.5348235442823288,0.3920993726410036,1,72,1,2,NA,5,3,1,1
DEU,2760600190,0.26628647394164146,0.19522468764049958,1,62,1,3,NA,6,3,1,1
DEU,2760600191,0.23222062844699431,0.17024972760043572,2,37,1,1,NA,5,2,2,2
DEU,2760600192,0.3744174009321582,0.27449956080070254,2,61,1,2,NA,5,1,1,1
DEU,2760600193,0.47201144478168794,0.3460494463208856,2,56,1,2,NA,NA,2,2,1
DEU,2760600194,0.6774295161127737,0.49664920536127105,2,45,1,4,NA,5,2,4,3
DEU,2760600195,0.26628647394164146,0.19522468764049958,1,68,1,2,NA,4,3,2,3
DEU,2760600196,0.33994235609222995,0.2492246012406378,2,66,5,2,NA,5,2,2,2
DEU,2760600197,0.14321977084836654,0.10499983200026872,1,45,3,2,NA,4,1,3,1
DEU,2760600198,0.17339822256284376,0.12712479660032533,1,19,6,0,NA,8,2,NA,2
DEU,2760600199,0.17339822256284376,0.12712479660032533,1,19,6,0,NA,3,2,3,1
DEU,2760600200,0.33339516656773327,0.24442460892062556,1,47,1,2,NA,5,2,3,1
DEU,2760600201,0.27876705397271345,0.20437467300052306,2,82,5,2,NA,4,2,4,1
DEU,2760600202,0.34444354889032147,0.25252459596064625,1,18,6,0,NA,3,3,4,3
DEU,2760600203,0.17933161306941894,0.1314747896403365,2,24,6,0,NA,3,2,4,1
DEU,2760600204,0.2108399626560596,0.15457475268039558,2,37,2,1,NA,4,2,2,1
DEU,2760600205,0.33339516656773327,0.24442460892062556,1,42,2,1,NA,2,3,1,1
DEU,2760600206,0.33339516656773327,0.24442460892062556,1,48,1,1,NA,7,2,3,1
DEU,2760600207,0.2108399626560596,0.15457475268039558,2,35,4,2,NA,1,2,2,1
DEU,2760600208,0.1459818664290136,0.10702482876027389,2,60,3,1,NA,2,2,1,1
DEU,2760600209,0.264138177378916,0.1936496901604956,2,48,3,3,NA,5,2,2,1
DEU,2760600210,0.19396048966321638,0.14219977248036392,2,58,1,1,NA,7,3,4,2
DEU,2760600211,0.11181372109804615,0.08197486884020978,2,31,1,0,NA,6,3,3,2
DEU,2760600212,0.2783578546274324,0.20407467348052227,2,40,2,1,NA,6,3,3,1
DEU,2760600213,0.3511953380874588,0.2574745880406589,1,44,1,0,NA,5,1,2,1
DEU,2760600214,0.11181372109804615,0.08197486884020978,2,30,6,0,NA,1,1,2,2
DEU,2760600215,0.39201297277924324,0.2873995401607355,1,57,1,1,NA,5,3,3,1
DEU,2760600216,0.2783578546274324,0.20407467348052227,2,45,6,1,NA,5,3,3,1
DEU,2760600217,0.21974004841592235,0.16109974224041226,1,70,1,2,NA,5,1,3,1
DEU,2760600218,1.1708216266853964,0.8583736266021967,1,32,1,2,NA,4,3,2,2
DEU,2760600219,0.15089225857238617,0.11062482300028312,1,42,1,2,NA,3,3,2,1
DEU,2760600220,0.29370283007547165,0.21532465548055105,2,84,3,2,NA,4,1,2,1
DEU,2760600221,0.3511953380874588,0.2574745880406589,1,42,2,0,NA,1,3,4,1
